Date,ESM6P 2175 Index,ESM6P 2180 Index,ESM6P 2185 Index,ESM6P 2190 Index,ESM6P 2195 Index,ESM6P 2200 Index,ESM6P 2205 Index,ESM6P 2210 Index,ESM6P 2215 Index,ESM6P 2220 Index,ESM6P 2225 Index,ESM6P 2230 Index,ESM6P 2235 Index,ESM6P 2240 Index,ESM6P 2245 Index,ESM6P 2250 Index,ESM6P 2255 Index,ESM6P 2260 Index,Open,High,Low,Close
11/24/2015,153,155.75,,161.5,,167.5,,173.75,,180.25,183.5,187,,194,,201,,208.25,150,150,150,150
11/23/2015,153.25,156,,162,,168,,174.25,,180.75,184,187.5,,194.25,,201.5,,208.75,150.5,150.5,150.5,150.5
11/20/2015,151.75,154.5,,160.25,,166.25,,172.25,,178.5,181.75,185.25,,192,,199,,206.25,149,149,149,149
11/19/2015,159.5,162.5,,168.25,,174.5,,180.5,,187,190.25,193.75,,200.5,,207.75,,215,156.75,156.75,156.75,156.75
11/18/2015,157.5,160.5,,166.25,,172.5,,178.5,,185,188.5,192,,199,,206,,213.5,154.75,154.75,154.75,154.75
11/17/2015,179.5,182.5,,189,,195.75,,202.75,,209.75,213.25,217,,224.5,,232.25,,240,176.5,176.5,176.5,176.5
11/16/2015,179.5,182.75,,189.25,,196,,203,,210,213.5,217.25,,224.75,,232.5,,240.5,176.5,176.5,176.5,176.5
11/13/2015,203,206.25,,213,,220.25,,227.5,,235.25,239,243,,250.75,,258.75,,267,199.5,199.5,199.5,199.5
11/12/2015,184.75,188,,194.5,,201.5,,208.25,,215.5,219.25,223,,230.5,,238.5,,246.5,181.75,181.75,181.75,181.75
11/11/2015,163.25,166.25,,172.5,,178.75,,185.25,,192,195.5,199,,206,,213.5,,221,160.5,160.5,160.5,160.5
11/10/2015,157,159.75,,165.75,,172,,178.5,,185,188.5,192,,199,,206,,213.5,154,154,154,154
11/9/2015,162,165,,171,,177,,183.5,,190.25,193.75,197,,204,,211.5,,219,159,159,159,159
11/6/2015,147.5,150.25,,155.75,,161.5,,167.5,,173.75,177,180.25,,187,,193.75,,201,144.75,144.75,144.75,144.75
11/5/2015,148.75,151.5,,157.25,,163,,169,,175.25,178.5,181.75,,188.5,,195.25,,202.25,146,146,146,146
11/4/2015,149.25,152,,157.5,,163.25,,169.25,,175.5,178.5,181.75,,188.5,,195.25,,202.5,146.5,146.5,146.5,146.5
11/3/2015,142.75,145.5,,151,,156.5,,162.5,,168.5,171.75,175,,181.25,,188,,195,140,140,140,140
11/2/2015,146.75,149.5,,155.25,,161,,167,,173.5,176.5,179.75,,186.5,,193.5,,200.5,144,144,144,144
10/30/2015,162.5,165.5,,171.5,,177.75,,184,,190.75,194,197.5,,204.5,,211.75,,219.25,159.5,159.5,159.5,159.5
10/29/2015,157.25,160,,166,,172,,178.25,,184.75,188,191.25,,198.25,,205.25,,212.5,154.5,154.5,154.5,154.5
10/28/2015,156.25,159,,164.75,,170.75,,176.75,,183.25,186.5,189.75,,196.5,,203.5,,211,153.5,153.5,153.5,153.5
